sentences,token ,target,morph_weight,"BP_type
المَكْسورونَ يَسْعَوْنَ لِإِعَادَةِ بِنَاءِ حَياتِهِمْ بَعْدَ الصُّعوباتِ.,المَكْسورونَ,مَكْسورونَ,مَفْعُولُونَ,جمع المذكر السالم,Broken people,maksUrUna
المَنْصُورونَ يَحْتَفِلُونَ بِانْتِصارَاتِهِمْ في ساحَةِ المَعْرَكَةِ.,المَنْصُورونَ,مَنْصُورونَ,مَفْعُولُونَ,جمع المذكر السالم,Victorious people,manS.UrUna
الخَيّاطونَ يَصْنَعونَ المَلابِسَ بِدِقَّةٍ وَإِتْقانٍ.,الخَيّاطونَ,خَيّاطونَ,مَفْعُولُونَ,جمع المذكر السالم,Tailors,khayyAT.UnA
الآكِلونَ يَتَناوَلونَ الطَّعامَ مَعًا في جَوٍّ مِنَ الوُدِّ وَالمَحَبَّةِ.,الآكِلونَ,آكِلونَ,فاعلونَ,جمع المذكر السالم,Eaters,AklUnA
ٱلْجَامِعُونَ يَجْمَعُونَ ٱلْمَعْلُومَاتِ بِدِقَّةٍ وَاِحْتِرَافٍ.,ٱلْجَامِعُونَ,جَامِعُونَ,فاعلونَ,جمع المذكر السالم,Collectors,jAmiCUnA
ٱلدَّارِسُونَ يَجْتَهِدُونَ فِي دِرَاسَتِهِمْ لِتَحْقِيقِ ٱلنَّجَاحِ.,ٱلدَّارِسُونَ,دَارِسُونَ,فاعلونَ,جمع المذكر السالم,Students,dArisUnA
ٱلرَّاكِعُونَ يَخْشَعُونَ فِي صَلَاتِهِمْ بِقُلُوبٍ خَاشِعَةٍ.,ٱلرَّاكِعُونَ,رَاكِعُونَ,فاعلونَ,جمع المذكر السالم,Bowers,rAkiCUnA
ٱلتَّائِبُونَ يَسْعَوْنَ إِلَى ٱلتَّصْلِيحِ وَٱلْتَّغْيِيرِ فِي حَيَاتِهِمْ.,ٱلتَّائِبُونَ,تَائِبُونَ,فاعلونَ,جمع المذكر السالم,Repenters,tA'ibUnA
ٱلْحَامِدُونَ يَشْكُرُونَ ٱللَّهَ عَلَى نِعَمِهِ بِقُلُوبٍ مُمْتَنَّةٍ.,ٱلْحَامِدُونَ,حَامِدُونَ,فاعلونَ,جمع المذكر السالم,Praisers,HAmidUnA
ٱلْمُتَفَكِّرُونَ يُلْقُونَ ٱلنَّظَرَ عَلَى ٱلْأُمُورِ بِعُمقٍ وَتَدَبُّرٍ.,ٱلْمُتَفَكِّرُونَ,مُتَفَكِّرُونَ,متفاعلونَ,جمع المذكر السالم,Thinkers,mutafakkirUnA
ٱلسَّائِلُونَ يَطْلُبُونَ ٱلْمَعْرِفَةَ وَٱلْمُسَاعَدَةَ بِأَدَبٍ وَاحْتِرَامٍ.,ٱلسَّائِلُونَ,سَّائِلُونَ,فاعلونَ,جمع المذكر السالم,Inquirers,sA'ilUnA
ٱلْجَالِسُونَ يَحْتَفِلُونَ بِٱلنَّجَاحِ بَعْدَ ٱلنِّهَايَةِ ٱلْمُبَارَاةِ.,ٱلْجَالِسُونَ,جَالِسُونَ,فاعلونَ,جمع المذكر السالم,Sitters,jAlisUnA
ٱلْحَدَّادُونَ يَصْنَعُونَ ٱلْأَدَوَاتِ وَٱلْأَسْلِحَةَ بِمَهَارَةٍ.,ٱلْحَدَّادُونَ,حَدَّادُونَ,فعّالونَ,جمع المذكر السالم,Blacksmiths,HaddAdUnA
ٱلْخَبَّازُونَ يُعِدُّونَ ٱلْخُبْزَ ٱلطَّازَجَ لِلْمُجْتَمَعِ.,ٱلْخَبَّازُونَ,خَبَّازُونَ,فعّالونَ,جمع المذكر السالم,Bakers,khabbAzUnA
ٱلْعَاقِلُونَ يَتَّخِذُونَ ٱلْقَرَارَاتِ ٱلصَّحِيحَةَ فِي وَقْتِهَا.,ٱلْعَاقِلُونَ,عَاقِلُونَ,فاعلونَ,جمع المذكر السالم,Intelligent ones,CAqilUnA
ٱلذَّاكِرُونَ يَذْكُرُونَ ٱلْمَعْلُومَاتِ بِدِقَّةٍ وَثِقَةٍ.,ٱلذَّاكِرُونَ,ذَاكِرُونَ,فاعلونَ,جمع المذكر السالم,Rememberers,dhAkirUnA
ٱلزَّاهِدُونَ يَتَخَلَّوْنَ عَنْ ٱلْمَلَذَّاتِ لِتَحْقِيقِ ٱلسَّلَامِ ٱلنَّفْسِيِّ.,ٱلزَّاهِدُونَ,زَاهِدُونَ,فاعلونَ,جمع المذكر السالم,Ascetics,zAhidUnA
ٱلْمُمَرِّضُونَ يَسْعَوْنَ لِرِعَايةِ ٱلْمَرْضَى بِٱلْحُبِّ وَٱلْإِخْلَاصِ.,ٱلْمُمَرِّضُونَ,مُمَرِّضُونَ,مفعلّونَ,جمع المذكر السالم,Nurses,mumarridUnA
ٱلْجَاهِدُونَ يُكافِحُونَ مِنْ أَجْلِ ٱلْعَدْلِ وَٱلْحُرِّيَّةِ.,ٱلْجَاهِدُونَ,جَاهِدُونَ,فاعلونَ,جمع المذكر السالم,Strivers,jAhidUnA
ٱلشَّاتِمُونَ يُسَبُّونَ وَلَكِنَّ ٱلْمُجْتَمَعَ يَشْجَعُ ٱلْأَدَبَ وَٱلْحُسْنَ.,ٱلشَّاتِمُونَ,شَاتِمُونَ,فاعلونَ,جمع المذكر السالم,Insulters,shAtimUnA
ٱلْحَاقِدُونَ يَحْمِلُونَ ٱلْحَقْدَ وَٱلْغِلَّةَ فِي قُلُوبِهِمْ.,ٱلْحَاقِدُونَ,حَاقِدُونَ,فاعلونَ,جمع المذكر السالم,Haters,HAqidUnA
ٱلْهَجِينُونَ يُمَزِّجُونَ بَيْنَ ٱلْأَسَالِيبِ وَٱلْأَفْكَارِ ٱلْمُخْتَلِفَةِ.,ٱلْهَجِينُونَ,هَجِينُونَ,فعيلونَ,جمع المذكر السالم,Hybrids,hajInUnA
ٱلْمُوقِنُونَ يَتَّقِدُونَ بِإِيمَانٍ وَثَابِتٍ.,ٱلْمُوقِنُونَ,مُوقِنُونَ,فعْلونَ,جمع المذكر السالم,Certains (Those who are certain),muwqinUnA
ٱلسَّمِينُونَ يَتَنَاوَلُونَ ٱلْغِذَاءَ بِوَزْنٍ وَتَوَازُنٍ لِصِحَّتِهِمْ.,ٱلسَّمِينُونَ,سَمِينُونَ,فعيلونَ,جمع المذكر السالم,Fats,samInUnA
ٱلْخَبِيثُونَ يُلْحِقُونَ ٱلضَّرَرَ بِٱلْآخَرِينَ بِدُونِ شَفَقَةٍ.,ٱلْخَبِيثُونَ,خَبِيثُونَ,فعيلونَ,جمع المذكر السالم,Wicked ones,khabIthUnA
ٱلْمُتَطَوِّعُونَ يُقَدِّمُونَ ٱلْمُسَاعَدَةَ بِإِخْلَاصٍ وَعَزِيمَةٍ.,ٱلْمُتَطَوِّعُونَ,مُتَطَوِّعُونَ,متفعلّونَ,جمع المذكر السالم,Volunteers,mutatawwiCUnA
ٱلْمُحْتَاجُونَ يَطْلُبُونَ ٱلْمُسَاعَدَةَ فِي ٱلْوَقْتِ ٱلْمُنَاسِبِ.,ٱلْمُحْتَاجُونَ,مُحْتَاجُونَ,مفتعلونَ,جمع المذكر السالم,Needy ones,muHtAjUnA
ٱلْمَذْعُورُونَ يَفْرُّونَ مِنَ ٱلْخَوْفِ وَٱلْهَلَعِ بِسُرْعَةٍ.,ٱلْمَذْعُورُونَ,مَذْعُورُونَ,مفعولونَ,جمع المذكر السالم,Panicked ones,madC'urUnA
ٱلْغَاضِبُونَ يُعَبِّرُونَ عَنْ ٱلْغَضَبِ بِصَوْتٍ عَالٍ وَحَرَارَةٍ.,ٱلْغَاضِبُونَ,غَاضِبُونَ,فعالونَ,جمع المذكر السالم,Angry ones,GHAdhibUnA
ٱلْعَجْلَانُونَ يَتَّخِذُونَ ٱلْقَرَارَاتِ بِسُرْعَةٍ غَيْرِ مُمْتَازَةٍ.,ٱلْعَجْلَانُونَ,عَجْلَانُونَ,فعْلانُ,جمع المذكر السالم,Hasty ones,CAjlAnUnA
ٱلْطَّمَّاعُونَ يَسْعَوْنَ لِكَسْبِ ٱلْمَزِيدِ بِغَيْرِ ٱلْحَقِّ.,ٱلْطَّمَّاعُونَ,طَمَّاعُونَ,فعّالونَ,جمع المذكر السالم,Greedy ones,TammAAUnA
ٱلْمُتَخَاذِلُونَ يَتَخَلَّفُونَ عَنْ ٱلْمَسْؤُولِيَّاتِ بِدُونِ ٱلْمُبَالَاةِ.,ٱلْمُتَخَاذِلُونَ,مُتَخَاذِلُونَ,متفعالونَ,جمع المذكر السالم,Slackers,mutakhAdhilUnA
ٱلْمُتَجَاهِلُونَ يَتَغَافَلُونَ عَنْ ٱلْوَاقِعِ وَٱلْمَسْؤُولِيَّاتِ.,ٱلْمُتَجَاهِلُونَ,مُتَجَاهِلُونَ,متفعالونَ,جمع المذكر السالم,Ignorers,mutajAhilUnA
ٱلْزَّائِرُونَ يَزُورُونَ ٱلْمَكَانَ لِلتَّعَلُّمِ وَٱلْاِسْتِفَادَةِ.,ٱلزَّائِرُونَ,زَائِرُونَ,فاعلونَ,جمع المذكر السالم,Visitors,zA'irUnA
ٱلْشَّارِبُونَ يَشْرَبُونَ ٱلْمَاءَ بَعْدَ ٱلْعَمَلِ ٱلشَّاقِّ.,ٱلشَّارِبُونَ,شَارِبُونَ,فاعلونَ,جمع المذكر السالم,Drinkers,shAribUnA
ٱلْمُرْتَجِلُونَ يُقَدِّمُونَ ٱلْخُطَبَ بِدُونِ تَخْطِيطٍ مُسْبَقٍ.,ٱلْمُرْتَجِلُونَ,مُرْتَجِلُونَ,مفتعلونَ,جمع المذكر السالم,Impromptu speakers,murtajilUnA
ٱلْمُنَادُونَ يُنَادُونَ عَلَى ٱلْجَمَاعَةِ بِصَوْتٍ عَالٍ وَوَاضِحٍ.,ٱلْمُنَادُونَ,مُنَادُونَ,فعالونَ,جمع المذكر السالم,Announced ones / Callers,munAdUnA
ٱلْمُعْتَدُونَ يَتَعَدَّونَ عَلَى حُقُوقِ ٱلْآخَرِينَ بِغَيْرِ ٱلْحَقِّ.,ٱلْمُعْتَدُونَ,مُعْتَدُونَ,مفتعلونَ,جمع المذكر السالم,Aggressors,muEtadUnA
ٱلدَّاعُونَ يَدْعُونَ إِلَى ٱلْخَيْرِ وَٱلصَّلَاحِ بِإِخْلَاصٍ.,ٱلدَّاعُونَ,دَاعُونَ,فعالونَ,جمع المذكر السالم,Invokers / Supplicators,dA'UnA
ٱلْمُتَحَمِّسُونَ يَشْجَعُونَ ٱلْفَرِيقَ بِحَمَاسٍ وَطَاقَةٍ كَبِيرَةٍ.,ٱلْمُتَحَمِّسُونَ,مُتَحَمِّسُونَ,متفعّلونَ,جمع المذكر السالم,Enthusiasts,mutahammasUnA
ٱلْمُشَجِّعُونَ يُدْعِمُونَ ٱلْفَرِيقَ فِي ٱلْمُبَارَيَاتِ بِصَوْتٍ عَالٍ.,ٱلْمُشَجِّعُونَ,مُشَجِّعُونَ,مفعّلونَ,جمع المذكر السالم,Encouragers,mushajjicUnA
ٱلْمُتَّهِمُونَ يُوَاجِهُونَ ٱلْمَحْكَمَةَ بِدِفَاعٍ قَوِيٍّ.,ٱلْمُتَّهِمُونَ,مُتَّهِمُونَ,متفعِّلونَ,جمع المذكر السالم,Accusers,muttahimUnA
ٱلْكَاظِمُونَ يَكْتُمُونَ ٱلْغَضَبَ وَيَتَصَرَّفُونَ بِحِكْمَةٍ.,ٱلْكَاظِمُونَ,كَاظِمُونَ,فاعلونَ,جمع المذكر السالم,Suppressors,kAzimUnA
ٱلْعَافُونَ يَسْتَغْفِرُونَ وَيَتَجَاوَزُونَ عَنِ ٱلْأَخْطَاءِ.,ٱلْعَافُونَ,عَافُونَ,فاعلونَ,جمع المذكر السالم,Forgivers,AEAfUnA
ٱلْمُحْسِنُونَ يُحَسِّنُونَ ٱلْعَمَلَ وَيُفْسِحُونَ فِي ٱلْمَعْرُوفِ.,ٱلْمُحْسِنُونَ,مُحْسِنُونَ,مفعِلُونَ,جمع المذكر السالم,Doers of good,muHsInUnA
ٱلْمُكَذِّبُونَ يَرْفُضُونَ ٱلْحَقَّ وَيُعَانِدُونَ ٱلْحَقِيقَةَ.,ٱلْمُكَذِّبُونَ,مُكَذِّبُونَ,مفعِّلونَ,جمع المذكر السالم,Deniers,mukadhdhibUnA
ٱلظَّالِمُونَ يَظْلِمُونَ ٱلْآخَرِينَ بِغَيْرِ ٱلْعَدْلِ.,ٱلظَّالِمُونَ,ظَالِمُونَ,فاعلونَ,جمع المذكر السالم,Oppressors,ZAlimUnA
ٱلْمُسَالِمُونَ يَسْعَوْنَ لِلسَّلَامِ وَٱلْمَوْئِدَةِ بَيْنَ ٱلنَّاسِ.,ٱلْمُسَالِمُونَ,مُسَالِمُونَ,مفاعلونَ,جمع المذكر السالم,Peacemakers,musAlimUnA
ٱلْمُهْتَدُونَ يَسْلُكُونَ ٱلطَّرِيقَ ٱلصَّحِيحَ بِإِيمَانٍ وَيَقِينٍ.,ٱلْمُهْتَدُونَ,مُهْتَدُونَ,مفتَعِلونَ,جمع المذكر السالم,Guided ones,muhtadUnA
ٱلْجَاهِلُونَ يَجْهَلُونَ ٱلْمَعْلُومَاتِ وَيَتَصَرَّفُونَ بِغَيْرِ فَهْمٍ.,ٱلْجَاهِلُونَ,جَاهِلُونَ,فاعلونَ,جمع المذكر السالم,Ignorant ones,jAhilUnA
ٱلْوَاشُونَ يَنْقُلُونَ ٱلْأَخْبَارَ وَيَتَكَلَّمُونَ بِغَيْرِ مَسْؤُولِيَّةٍ.,ٱلْوَاشُونَ,وَاشُونَ,فاعلونَ,جمع المذكر السالم,Informers,wAshUnA
ٱلنَّبِيُّونَ يَرْسِلُونَ ٱلرِّسَالَةَ وَيَهْدُونَ ٱلنَّاسَ إِلَى ٱلْهُدَى.,ٱلنَّبِيُّونَ,نَبِيُّونَ,فعيلونَ,جمع المذكر السالم,Prophets,nabiyyUnA
ٱلْمُتَصَدِّقُونَ يُقَدِّمُونَ ٱلصَّدَقَاتِ لِلْمَسَاكِينِ بِقَلْبٍ طَيِّبٍ.,ٱلْمُتَصَدِّقُونَ,مُتَصَدِّقُونَ,متفعِّلونَ,جمع المذكر السالم,Charity givers,mutasaddiqUnA
ٱلْمَصْرِفِيُّونَ يُدِيرُونَ ٱلْمَصَارِفَ بِكُفَاءَةٍ وَمَهَارَةٍ.,ٱلْمَصْرِفِيُّونَ,مَصْرِفِيُّونَ,مفعِّلِيّونَ,جمع المذكر السالم,Bankers,maSrifiyyUnA
شاهدْتُ المواطنينَ في الحفلِ بِتركيزٍ.,المواطنينَ,مواطنينَ,فاعلينَ,جمع المذكر السالم,Citizens,muwATininA
استقبلَ المدرّسُ الحاضرينَ في الصفِّ بِترحيبٍ.,الحاضرينَ,حاضرينَ,فاعلينَ,جمع المذكر السالم,Attendees,HAdhirinA
رأيتُ المُستَمِعينَ يركّزونَ على الشرحِ جيِّدًا.,المُستَمِعينَ,مُستَمِعينَ,مستفعِلينَ,جمع المذكر السالم,Listeners,mustamiEinA
المُستَمتِعينَ في الحفلِ يضحكونَ بسعادةٍ.,المُستَمتِعينَ,مُستَمتِعينَ,مستفعِلينَ,جمع المذكر السالم,Enjoyers,mustamtiEinA
قابلتُ المدنيينَ في الاجتماعِ بِهدوءٍ.,المدنيينَ,مدنيينَ,فعليينَ,جمع المذكر السالم,Civilians,mudaniyinA
ساعدتُ المدينينَ في تسديدِ ديونِهم.,المدينينَ,مدينينَ,فعليينَ,جمع المذكر السالم,Debtors,mudiyninA
ذكرتُ الغابرينَ في المحاضرةِ السابقةِ.,الغابرينَ,غابرينَ,فاعلينَ,جمع المذكر السالم,Past ones,GHAbirinA
عالجَ الطَّبيبُ المدمنينَ بِعنايةٍ فائقةٍ.,المدمنينَ,مدمنينَ,مفعْلِينَ,جمع المذكر السالم,Addicts,mudmininA
لاحظتُ المنتبهينَ أثناءَ الامتحانِ.,المنتبهينَ,منتبهينَ,مُفعِلِينَ,جمع المذكر السالم,Attentive ones,muntabihinA
دعمنا المبادرينَ في مشروعِ التطويرِ.,المبادرينَ,مبادرينَ,مفعِلِين,جمع المذكر السالم,Initiators,mubAdirInA
اِسْتَمَعْتُ إِلَى المُنذِرِينَ يُحَذِّرُونَ مِنَ الخَطَرِ.,المُنذِرِين,مُنذِرِينَ,مُفعِلِين,جمع المذكر السالم,Warners,mundhirInA
شَاهَدْتُ المُنقِذِينَ وَهُمْ يُنقِذُونَ الضَّحَايَا.,المُنقِذِين,مُنقِذِينَ,مُفعِلِين,جمع المذكر السالم,Rescuers,munqidhInA
احْتَرَمْتُ الصَّابِرِينَ عَلَى صَبْرِهِمُ الطَّوِيلِ.,الصَّابِرِين,صَابِرِينَ,فاعِلِين,جمع المذكر السالم,Patient ones,SAbirInA
قَابَلْتُ المُتَحَدِّينَ فِي المُلْتَقَى الأَخِيرِ.,المُتَحَدِّين,مُتَحَدِّينَ,متفعِّلِين,جمع المذكر السالم,Challengers,mutahaddInA
شَجَّعْتُ المُعْتَنِينَ عَلَى الاسْتِمْرَارِ فِي العَمَلِ.,المُعْتَنِين,مُعْتَنِينَ,مفتعِلِين,جمع المذكر السالم,Caretakers,muEtnInA
رَاقَبْتُ المُرَاقِبِينَ أَثْنَاءَ العَمَلِيَّةِ.,المُرَاقِبِين,مُرَاقِبِينَ,مُفاعِلِين,جمع المذكر السالم,Observers,murAqibInA
قَابَلْتُ المُبَجَّلِينَ فِي الحَفْلِ الرَّسْمِيِّ.,المُبَجَّلِين,مُبَجَّلِينَ,مُفعَّلِين,جمع المذكر السالم,Honored ones,mubajjilInA
شَكَرْنَا المُتَبَرِّعِينَ عَلَى مُسَاهَمَاتِهِمُ السَّخِيَّةِ.,المُتَبَرِّعِين,مُتَبَرِّعِينَ,متفعِّلِين,جمع المذكر السالم,Donors,mutabarriEInA
لَاحَظْتُ المُدَافِعِينَ فِي المَلْعَبِ بِشَجَاعَةٍ.,المُدَافِعِين,مُدَافِعِينَ,مُفاعِلِين,جمع المذكر السالم,Defenders,mudAfiEInA
حَفَّزْتُ المُتَفَوِّقِينَ عَلَى الاسْتِمْرَارِ بِالتَّفَوُّقِ.,المُتَفَوِّقِين,مُتَفَوِّقِينَ,متفعِّلين,جمع المذكر السالم,Outstanding ones,mutafawwiqInA
رَأَيْتُ المُنْتَظِرِينَ عِنْدَ المَحَطَّةِ بِصَبْرٍ.,المُنْتَظِرِين,مُنْتَظِرِينَ,مفتعِلِين,جمع المذكر السالم,Awaiters,muntazhirInA
تَحَدَّثْتُ مَعَ الصَّابِئِينَ عَنْ مُعْتَقَدَاتِهِمْ.,الصَّابِئِين,صَابِئِينَ,فاعِلِين,جمع المذكر السالم,Converts (to a different religion),SAbi'InA
تَجَاهَلْتُ الخَاسِئِينَ بَعْدَ الهَزِيمَةِ.,الخَاسِئِين,خَاسِئِينَ,فاعِلِين,جمع المذكر السالم,Despised ones,khAsi'InA
دَعَمْنَا الخَاسِرِينَ بَعْدَ المُبَارَاةِ.,الخَاسِرِين,خَاسِرِينَ,فاعِلِين,جمع المذكر السالم,Losers,khAsirInA
لَاحَظْتُ المُتَّقِينَ فِي العَمَلِ بِدِقَّةٍ.,المُتَّقِين,مُتَّقِينَ,متفعِّلين,جمع المذكر السالم,Pious ones,muttaqInA
اِسْتَمَعْتُ إِلَى النَّاظِرِينَ وَهُمْ يُنَاقِشُونَ المَوْضُوعَ.,النَّاظِرِين,نَاظِرِينَ,فاعِلِين,جمع المذكر السالم,Observers,nAzhirInA
قَابَلْتُ الأُمِّيِّينَ فِي الوِرْشَةِ التَّعْلِيمِيَّةِ.,الأُمِّيِّين,أُمِّيِّينَ,فعيلِين,جمع المذكر السالم,Illiterate people,ummiyyInA
شَجَّعْتُ المُعْرِضِينَ عَلَى عَرْضِ أَعْمَالِهِمْ.,المُعْرِضِين,مُعْرِضِينَ,مُفعِلِين,جمع المذكر السالم,Avoiders,muEriDInA
اِسْتَدْعَيْتُ الشَّاهِدِينَ لِلإِدْلَاءِ بِشَهَادَاتِهِمْ.,الشَّاهِدِين,شَاهِدِينَ,فاعِلِين,جمع المذكر السالم,Witnesses,shAhidInA
رَأَيْتُ المُشْرِكِينَ فِي السُّوقِ بِوُضُوحٍ.,المُشْرِكِين,مُشْرِكِينَ,مُفعِلِين,جمع المذكر السالم,Polytheists,mushrikInA
نَادَيْتُ الكَافِرِينَ لِكَيْ يَسْتَمِعُوا إِلَى الدَّرْسِ.,الكَافِرِين,كَافِرِينَ,فاعِلِين,جمع المذكر السالم,Disbelievers,kAfirInA
وَاجَهْتُ الكَاذِبِينَ بِالحَقِيقَةِ الوَاضِحَةِ.,الكَاذِبِين,كَاذِبِينَ,فاعِلِين,جمع المذكر السالم,Liars,kAdhibInA
رَأَيْتُ الطَّائِفِينَ يَتَجَوَّلُونَ فِي المَدِينَةِ.,الطَّائِفِين,طَائِفِينَ,فاعِلِين,جمع المذكر السالم,Circumambulators,T.A'ifInA
لَاحَظْتُ القَانِتِينَ وَهُمْ يُؤَدُّونَ صَلَاتَهُمْ بِخُشُوعٍ.,القَانِتِين,قَانِتِينَ,فاعِلِين,جمع المذكر السالم,Devout ones,qAnitInA
شَاهَدْتُ العَاكِفِينَ فِي المَسْجِدِ مُتَأَمِّلِينَ.,العَاكِفِين,عَاكِفِينَ,فاعِلِين,جمع المذكر السالم,Devotees,CAkifInA
تَحَدَّثْتُ مَعَ المُلحِدِينَ عَنْ مُعْتَقَدَاتِهِمْ بِمَوْضُوعِيَّةٍ.,المُلحِدِين,مُلحِدِينَ,فاعِلِين,جمع المذكر السالم,Atheists,mulhidInA
اِتَّبَعْتُ المُصْطَفِينَ فِي عَمَلِ الخَيْرِ بِقُلُوبٍ صَادِقَةٍ.,المُصْطَفِين,مُصْطَفِينَ,مُفعِلِين,جمع المذكر السالم,Chosen ones,muSTafInA
قَرَأْتُ عَنْ الصَّالِحِينَ وَأَفْعَالِهِمْ فِي التَّارِيخِ.,الصَّالِحِين,صَالِحِينَ,مُفعِلِين,جمع المذكر السالم,Righteous ones,SAliHInA
شَجَّعْتُ الحَنِيفِينَ عَلَى الثَّبَاتِ عَلَى الحَقِّ.,الحَنِيفِين,حَنِيفِينَ,فاعِلِين,جمع المذكر السالم,Monotheists,HanifInA
دَعَمْتُ المُخْلِصِينَ فِي عَمَلِهِمْ بِنَشَاطٍ وَحَمَاسٍ.,المُخْلِصِين,مُخْلِصِينَ,فاعِلِين,جمع المذكر السالم,Sincere ones,muxliSInA
اِسْتَفَدْتُ مِنْ نَصَائِحِ العَارِفِينَ فِي المَجَالِ العِلْمِيِّ.,العَارِفِين,عَارِفِينَ,فاعِلِين,جمع المذكر السالم,Knowers,CArifInA
تَابَعْتُ تَحْلِيلَاتِ المُمتَرِينَ بِحَذَرٍ وَتَرْكِيزٍ.,المُمتَرِين,مُمتَرِينَ,مُفعِلِين,جمع المذكر السالم,Doubters,mumtarInA
سَاعَدْتُ القَادِرِينَ عَلَى إِنْجَازِ مَهَمَّتِهِمْ بِسُرْعَةٍ.,القَادِرِين,قَادِرِينَ,فاعِلِين,جمع المذكر السالم,Able ones,qAdirInA
شَكَرْتُ الشَّاكِرِينَ عَلَى تَعَاوُنِهِمْ وَدَعْمِهِمْ المُتَوَاصِلِ.,الشَّاكِرِين,شَاكِرِينَ,فاعِلِين,جمع المذكر السالم,Thankful ones,shAkirInA
لَاحَظْتُ رُدُودَ فِعْلِ السَّاخِرِينَ فِي النِّقَاشِ الأَخِيرِ.,السَّاخِرِين,سَاخِرِينَ,فاعِلِين,جمع المذكر السالم,Mockers,sAkhirInA
